stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject,side
34,80.56344400000035,1.1764909814803557,0.0499629927,1.3332799999998317,0.6749730000001364,0.6583069999996951,0.4937499999998337,81.22175100000004,81.89672400000018,9747,9828,True,False,3P,S2,right
35,81.89672400000018,1.2846125576654872,0.0583230603,1.4082769999999982,0.724971000000096,0.6833059999999023,0.4852071005916472,82.58003000000008,83.30500100000017,9910,9997,True,False,3P,S2,right
36,83.30500100000017,4.647966447731651,0.0505788625,5.508112999999867,0.7166379999998753,4.791474999999991,0.8698940998487336,88.09647600000017,88.81311400000004,10572,10658,True,False,3P,S2,right
37,88.81311400000004,1.256592633839007,0.0489440247,1.3666120000002593,0.6833059999999023,0.683306000000357,0.5000000000001664,89.4964200000004,90.1797260000003,10740,10822,False,False,3P,S2,right
38,90.1797260000003,1.2395509945333485,0.0546839233,1.383277999999791,0.7166379999998753,0.6666399999999157,0.4819277108433853,90.84636600000022,91.56300400000008,10902,10988,True,False,3P,S2,right
39,91.56300400000008,1.2511475905414244,0.0540786111,1.3916110000000117,0.6916390000001229,0.6999719999998888,0.5029940119759637,92.26297599999998,92.9546150000001,11072,11155,False,False,3P,S2,right
40,92.9546150000001,1.2621523642254031,0.0603520256,1.3916110000000117,0.7083050000001094,0.6833059999999023,0.4910179640717819,93.637921,94.34622600000012,11237,11322,True,False,3P,S2,right
41,94.34622600000012,1.292995854144657,0.0537259953,1.3832780000002458,0.6916390000001229,0.6916390000001229,0.5,95.03786500000024,95.72950400000036,11405,11488,False,False,3P,S2,right
42,95.72950400000036,1.2624891540015934,0.0594283404,1.3916110000000117,0.6666400000003705,0.7249709999996412,0.5209580838320731,96.454475,97.12111500000036,11575,11655,False,False,3P,S2,right
0,3.1165419999999813,1.3668738444021504,0.0799018873,1.366612000000032,0.6083089999999629,0.758303000000069,0.5548780487805254,3.8748450000000494,4.483154000000013,465,538,False,False,1P,S1,right
1,4.483154000000013,1.3405802838387657,0.0813154019,1.3749450000000252,0.6249749999999494,0.7499700000000757,0.5454545454545906,5.233124000000089,5.858099000000038,628,703,False,False,1P,S1,right
2,5.858099000000038,1.3351474766811724,0.083040616,1.4499419999999643,0.6666399999999157,0.7833020000000488,0.5402298850575181,6.641401000000087,7.308041000000003,797,877,False,False,1P,S1,right
3,7.308041000000003,1.2538043565355086,0.0862885619,3.591523000000052,0.6166419999999562,2.974881000000096,0.8283062645011747,10.2829220000001,10.899564000000057,1234,1308,True,True,1P,S1,right
4,10.899564000000057,1.445813439804815,0.087978275,1.4082769999999982,0.6333080000001701,0.7749689999998282,0.5502958579880444,11.674532999999885,12.307841000000051,1401,1477,False,False,1P,S1,right
5,12.307841000000051,1.3935055555602711,0.0841879711,1.316613999999845,0.5249789999998029,0.791635000000042,0.6012658227849129,13.099476000000095,13.624454999999898,1572,1635,False,False,1P,S1,right
6,13.624454999999898,1.31283034805883,0.0833659238,1.4666080000001784,0.6416410000001633,0.8249670000000151,0.5624999999999418,14.449421999999911,15.091063000000076,1734,1811,True,True,1P,S1,right
7,15.091063000000076,1.3730389302427624,0.0832370123,3.008212999999841,0.5916429999999764,2.416569999999865,0.8033240997229891,17.50763299999994,18.09927599999992,2101,2172,True,True,1P,S1,right
8,18.09927599999992,1.463449288890338,0.0827898607,1.5249390000001313,0.6499740000001566,0.8749649999999747,0.5737704918032127,18.974240999999893,19.62421500000005,2277,2355,False,False,1P,S1,right
