stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step
25,36.998519999999985,1.7018232757534049,0.035750518534238704,4.749810000000025,0.4499820000000341,4.299827999999991,0.9052631578947302,41.298347999999976,41.74833000000001,4956,5010,True,True
26,41.74833000000001,0.8080459622873862,0.03414715196622131,1.2082849999999894,0.4333159999999907,0.7749689999999987,0.6413793103448321,42.52329900000001,42.956615,5103,5155,False,False
27,42.956615,0.787992155244941,0.03416142198363769,1.1082890000000134,0.4666480000000206,0.6416409999999928,0.5789473684210391,43.59825599999999,44.06490400000001,5232,5288,False,False
28,44.06490400000001,0.8718667534777472,0.040450408509337774,1.1499539999999797,0.45831500000002734,0.6916389999999524,0.601449275362288,44.756542999999965,45.21485799999999,5371,5426,False,False
29,45.21485799999999,0.819212449453401,0.03467877795656696,1.124955,0.42498299999999745,0.6999720000000025,0.6222222222222245,45.914829999999995,46.33981299999999,5510,5561,False,False
30,46.33981299999999,0.9373582655385724,0.04249425152167779,1.1082890000000134,0.42498299999999745,0.683306000000016,0.6165413533834656,47.02311900000001,47.448102000000006,5643,5694,False,False
31,47.448102000000006,0.9546746588944944,0.03801503020335356,1.1666199999999662,0.4916470000000004,0.6749729999999659,0.5785714285714161,48.12307499999997,48.61472199999997,5775,5834,False,False
32,48.61472199999997,0.9130627430163231,0.03831693271611522,1.058290999999997,0.42498299999999745,0.6333079999999995,0.598425196850395,49.24802999999997,49.67301299999997,5910,5961,False,False
33,49.67301299999997,0.9423640218543067,0.037425917444058154,1.1499540000000366,0.4416490000000408,0.7083049999999957,0.615942028985484,50.381317999999965,50.822967000000006,6046,6099,False,False
34,50.822967000000006,0.1336457145356903,,0.783301999999992,0.08332999999998947,0.6999720000000025,0.8936170212766081,51.52293900000001,51.606269,6183,6193,True,True
35,51.606269,1.5555299963004374,0.038941219368235074,1.5249390000000176,0.4166500000000042,1.1082890000000134,0.7267759562841534,52.71455800000001,53.131208000000015,6326,6376,True,True
36,53.131208000000015,1.5486709112591,0.0369773524853766,3.8165139999999838,0.4166500000000042,3.3998639999999796,0.8908296943231425,56.531071999999995,56.947722,6784,6834,True,True
37,56.947722,0.9131808324834698,0.03768186893690366,1.124955,0.4333159999999907,0.6916390000000092,0.614814814814823,57.63936100000001,58.072677,6917,6969,False,False
38,58.072677,0.906553266258859,0.03743142232136797,1.0832899999999768,0.4083170000000109,0.6749729999999659,0.6230769230769049,58.747649999999965,59.155966999999976,7050,7099,False,False
39,59.155966999999976,0.9349771916545871,0.035530075103259354,1.1749530000000163,0.42498299999999745,0.7499700000000189,0.6382978723404328,59.905936999999994,60.33091999999999,7189,7240,False,False
40,60.33091999999999,0.9459745943096005,0.036560960300489026,1.1416209999999865,0.4583149999999705,0.683306000000016,0.5985401459854225,61.01422600000001,61.47254099999998,7322,7377,False,False
41,61.47254099999998,0.8871229825694839,0.03440689234491522,1.166620000000023,0.45831500000002734,0.7083049999999957,0.6071428571428414,62.180845999999974,62.639161,7462,7517,False,False
42,62.639161,0.8827311775677807,0.036227701560999914,1.1166220000000067,0.4416490000000408,0.6749729999999659,0.6044776119402643,63.31413399999997,63.75578300000001,7598,7651,False,False
43,63.75578300000001,0.8910411388145512,0.04040841762447926,1.1999519999999961,0.4916470000000004,0.7083049999999957,0.5902777777777761,64.464088,64.955735,7736,7795,False,False
44,64.955735,0.870808508684606,0.03968408742550321,1.1332879999999932,0.47498100000001386,0.6583069999999793,0.5808823529411618,65.61404199999998,66.089023,7874,7931,False,False
45,66.089023,0.8715039774488248,0.036185818679154415,1.0332920000000172,0.42498299999999745,0.6083090000000198,0.5887096774193642,66.69733200000002,67.12231500000001,8004,8055,False,False
46,67.12231500000001,0.8700216178002719,0.04123849282832519,1.2082849999999894,0.4666480000000206,0.7416369999999688,0.6137931034482554,67.86395199999998,68.3306,8144,8200,True,True
47,68.3306,1.9772790170408063,0.03654566462341374,5.2414569999999685,0.4333159999999907,4.808140999999978,0.9173290937996833,73.13874099999998,73.57205699999997,8777,8829,True,True
48,73.57205699999997,0.8603362303167108,0.035598300430833896,1.1749530000000163,0.4833140000000071,0.6916390000000092,0.5886524822695032,74.26369599999998,74.74700999999999,8912,8970,False,False
49,74.74700999999999,0.8836206269388255,0.037925859583008766,1.1166220000000067,0.4499820000000341,0.6666399999999726,0.5970149253731062,75.41364999999996,75.863632,9050,9104,False,False
50,75.863632,0.854717389750828,0.03488774171189339,1.1332879999999932,0.4166500000000042,0.716637999999989,0.6323529411764647,76.58026999999998,76.99691999999999,9190,9240,False,False
51,76.99691999999999,0.9825415394126154,0.034549476734279036,1.1916190000000029,0.45831500000002734,0.7333039999999755,0.6153846153845933,77.73022399999996,78.18853899999999,9328,9383,False,False
