,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
175,9.9003,1.2206,-0.195,0.0524,-0.063,0.0076
176,10.0343,1.3181,-0.1949,0.0555,-0.0309,0.0343
177,9.9858,1.1838,-0.159,0.0448,-0.0096,0.0534
178,9.9854,1.1476,-0.1223,0.0288,0.0086,0.0555
179,9.9002,1.123,-0.1219,0.0128,0.017,0.0619
180,9.8877,1.0375,-0.0856,0.0086,-0.0033,0.0502
181,9.8514,0.9641,-0.0731,0.0,-0.045,0.0299
182,9.9125,1.001,-0.0978,0.0,-0.0834,0.0021
183,9.9488,1.0132,-0.1956,0.0064,-0.095,-0.0161
184,9.9611,1.1231,-0.2932,0.0043,-0.0694,-0.0235
185,9.9369,1.1476,-0.366,0.0086,-0.0405,-0.0224
186,9.9611,1.1718,-0.3296,-0.0,-0.0085,-0.016
187,9.9611,1.1354,-0.3174,-0.0086,0.0033,-0.0107
188,9.9244,1.1353,-0.2809,-0.0289,0.0331,-0.0043
189,9.9488,1.1719,-0.2565,-0.0406,0.0492,-0.0043
190,9.9245,1.1106,-0.2198,-0.0523,0.0641,-0.0096
191,9.9248,1.1715,-0.2198,-0.0631,0.0695,-0.015
192,9.9611,1.172,-0.1344,-0.0812,0.1068,-0.0267
193,9.8635,1.2083,-0.0977,-0.1068,0.111,-0.0331
194,9.9123,1.221,-0.1218,-0.0619,0.0758,-0.0256
195,9.827,1.2691,-0.0608,-0.0384,0.0641,0.0011
196,9.8391,1.0867,0.0368,0.015,0.0299,-0.0064
197,9.9246,1.2576,0.0609,0.0278,-0.015,0.0043
198,9.888,1.2815,-0.0731,0.0246,-0.0149,0.0321
199,9.9734,1.2331,0.061,0.0139,-0.0139,0.0459
200,9.9613,1.1963,0.0365,-0.0064,-0.0278,0.0481
201,9.9368,1.1963,-0.0365,-0.0364,-0.0182,0.0363
202,9.9245,1.1964,-0.0122,-0.0812,-0.0278,0.031
203,9.827,1.1108,-0.0855,-0.0619,-0.0727,0.0406
204,9.8148,1.001,-0.0488,-0.0278,-0.1079,0.031
205,9.9125,1.0498,-0.0244,-0.031,-0.1538,0.0064
206,9.9246,1.0497,-0.1831,-0.0117,-0.1859,-0.0096
207,9.9002,1.0985,-0.2808,-0.0032,-0.1837,-0.0085
208,9.949,1.0863,-0.3784,0.0182,-0.1933,-0.0096
209,9.8269,1.1596,-0.4518,0.0321,-0.1933,-0.0118
210,9.595,1.0132,-0.5982,0.0855,-0.2072,-0.0085
211,9.412,1.294,-0.6714,0.1496,-0.2361,0.0139
212,9.7903,1.1843,-0.6593,0.2126,-0.267,0.0449
213,9.412,1.3794,-0.7446,0.2425,-0.3418,0.1068
214,10.5594,0.5616,-0.6226,0.0865,-0.407,-0.0224
215,10.4373,1.1108,-1.3062,-0.0203,-0.3247,-0.1431
216,10.1077,1.2695,-1.6358,-0.016,-0.1538,-0.1944
217,9.8392,1.2575,-1.4894,-0.0609,-0.063,-0.173
218,9.6437,0.818,-0.9402,-0.0427,-0.1463,-0.2702
219,9.5706,0.9158,-0.9277,-0.0459,-0.3321,-0.3909
220,9.7046,1.2085,-1.0011,-0.0192,-0.5436,-0.5223
221,9.9487,1.4406,-1.5257,0.0085,-0.6911,-0.6334
222,10.2294,2.0873,-2.0871,-0.0576,-0.6282,-0.7092
223,11.2922,1.8067,-2.441,-0.0908,-0.3271,-0.7818
224,12.6929,4.2098,-1.0521,-0.7723,-0.0246,-0.7636
225,13.1366,-0.12,0.6936,-1.4245,-0.3585,-0.7308
226,11.1575,0.2177,0.5614,-2.5005,-0.6013,-0.3295
227,9.841,2.867,0.0726,-3.7847,-0.6676,0.0404
228,8.9725,-3.7575,3.0734,-2.7173,-0.4803,0.663
229,8.2397,2.311,5.0408,1.1836,1.1012,1.1608
230,9.3977,1.9613,4.3338,1.3573,1.7321,0.9623
231,10.28,1.9822,1.9791,2.1302,1.9633,0.8453
232,10.2055,3.7676,0.9521,1.804,1.5035,0.5773
233,9.9237,3.198,0.5973,0.5289,0.9428,0.214
234,10.1436,1.8063,0.8901,-0.0005,0.6485,0.1507
235,9.7423,1.7457,1.1228,-0.3244,0.6578,0.1782
236,9.2904,0.6493,0.709,-0.1939,0.8104,0.349
237,9.3024,0.4388,-0.2545,0.3571,0.9793,0.5136
238,8.8745,0.4149,-1.5973,0.7376,0.9221,0.5949
239,8.8137,0.4027,-2.3182,0.7405,0.6009,0.6003
240,8.5086,0.2318,-2.6248,0.4705,0.1512,0.6439
241,7.7522,1.7231,-2.2247,-0.0485,-0.112,0.7402
242,7.5159,10.106,-4.7324,-0.6722,-0.4055,0.4319
243,22.2325,26.6146,-4.0541,0.681,-2.1174,-1.4645
244,11.7102,4.2489,-1.9621,1.6541,-1.3813,0.1448
245,9.7103,0.9775,-1.5266,-0.9688,-0.7733,0.4131
246,10.1485,-0.5122,0.1805,0.0615,-0.3156,0.0838
247,10.1716,1.534,0.5152,0.2879,-0.2905,-0.028
248,9.9376,0.7995,-0.2192,-0.1441,-0.3739,0.078
249,9.9742,0.488,-0.1952,0.0499,-0.3098,-0.002
250,9.8146,0.7811,-0.1706,-0.0304,-0.3714,-0.0459
251,9.7283,0.2952,-0.2449,0.0198,-0.4473,-0.1129
252,9.8398,0.6685,-0.5715,0.1407,-0.518,-0.2413
253,9.9245,0.8645,-0.7065,0.0845,-0.5595,-0.2978
254,10.0231,1.0132,-1.085,0.0813,-0.5374,-0.3598
255,9.9744,1.4385,-1.3661,0.0141,-0.4925,-0.3877
256,10.0096,1.2564,-1.4398,-0.013,-0.4881,-0.4389
257,10.0464,1.4651,-1.5634,-0.0499,-0.419,-0.5179
258,10.6652,1.4905,-1.6851,-0.1239,-0.3081,-0.5915
259,10.6454,2.133,-1.7844,-0.2132,-0.1243,-0.59
260,14.1355,2.6489,0.47,-0.8436,-0.1346,-0.736
261,12.4452,-0.5338,1.5165,-1.545,-0.614,-0.5543
262,11.4051,0.0851,1.3648,-2.6999,-0.9181,-0.3166
263,9.5636,0.5494,2.8314,-3.3952,-0.8133,-0.1028
264,8.3662,-5.4538,6.2282,0.1281,0.4019,1.1754
265,8.1209,4.7587,4.6036,0.7003,1.807,1.0142
266,10.1366,-0.092,4.1444,0.9965,2.4312,1.2354
267,11.4003,-0.2456,1.328,1.9073,2.4229,1.088
268,11.23,1.8042,-0.3641,2.0722,1.6311,0.6973
