,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
145,10.0837,0.5615,0.1583,0.0043,0.0064,0.0257
146,10.0707,0.5734,0.1709,0.0001,0.0043,0.0257
147,10.0715,0.5486,0.1709,0.0,0.0043,0.0299
148,10.0955,0.5368,0.1479,0.0083,0.0085,0.0298
149,10.0711,0.5256,0.1824,0.0,0.0043,0.0257
150,10.0826,0.5127,0.195,0.0032,0.0043,0.0278
151,10.0715,0.4764,0.1713,-0.0031,-0.0,0.0309
152,10.0833,0.4635,0.1587,-0.001,0.0043,0.0299
153,10.0592,0.4513,0.1709,0.0001,0.0064,0.0257
154,10.0592,0.4632,0.1953,-0.0001,0.0032,0.0235
155,10.0708,0.4388,0.1594,0.0022,0.0074,0.016
156,10.0711,0.4636,0.2075,0.0085,0.0075,0.0139
157,10.1068,0.4269,0.2069,0.0001,0.0053,0.0118
158,10.0711,0.451,0.1956,0.0022,0.0064,0.0117
159,10.0711,0.4269,0.2082,0.001,0.0032,0.0117
160,10.0705,0.3913,0.1944,0.0011,0.0012,0.0055
161,10.1196,0.4269,0.2072,0.0064,0.0043,0.0022
162,10.0708,0.4154,0.2075,0.0192,0.015,-0.0
163,10.0833,0.4154,0.2313,0.0116,0.0085,-0.0075
164,10.0705,0.3912,0.195,0.0161,0.0086,-0.0108
165,10.0824,0.427,0.2325,0.0118,0.0075,-0.0128
166,10.0708,0.3912,0.2314,0.0097,0.0053,-0.0129
167,10.083,0.4386,0.2314,0.0043,0.0031,-0.0182
168,10.0708,0.4278,0.2075,0.0042,0.0032,-0.0213
169,10.0833,0.452,0.2075,0.0064,0.0044,-0.0193
170,10.0706,0.4636,0.2433,0.0021,0.0053,-0.017
171,10.0706,0.4764,0.2322,0.0021,0.0032,-0.0171
172,10.047,0.4641,0.268,-0.0021,0.0,-0.0139
173,10.0831,0.4395,0.2197,-0.0063,0.0,-0.014
174,10.0711,0.4763,0.2444,0.0021,0.001,-0.0159
175,10.0592,0.4763,0.22,-0.0044,-0.0053,-0.0118
176,10.0709,0.4758,0.208,-0.0127,-0.0021,-0.0138
177,10.0709,0.4517,0.2195,-0.0085,-0.0011,-0.016
178,10.0711,0.4646,0.2317,-0.0075,-0.0011,-0.0171
